CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;04:00:51:469;41,28061477;2,26540458;1333,46261968743;4374,87750117531;7,519531;99,206543;437;43,75;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;97,382812;240;0,392;1344;1120;3862;265,32;98,6792;No alert, no SPI, aircraft airbone
CAT048;20;129;04:00:55:461;41,27985095;2,27188234;1363,93959413562;4474,86757802391;7,816406;99,190063;437;44,75;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;97,207031;245;0,4;1664;1536;3862;270,38;98,7286;No alert, no SPI, aircraft airbone
CAT048;20;129;04:00:59:461;41,2790823;2,27852575;1402,03636815678;4599,8569981035;8,121094;99,168091;437;46;4CA739;RYR82GJ;1013,2;-0,176;98,789;274;0,031;272;97,207031;247;0,404;2144;2304;3862;273,46;98,8385;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:03:453;41,27832598;2,28498734;1447,75311204791;4749,84632013127;8,417969;99,151611;437;47,5;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;97,910156;249;0,408;2496;2496;3862;275,44;98,7726;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:07:445;41,27748989;2,29177436;1501,08956798725;4924,83469823528;8,730469;99,151611;437;49,25;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;100,371094;251;0,412;2656;2720;3862;276,76;100,415;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:11:445;41,27649355;2,29843855;1554,42597224377;5099,82290677625;9,039062;99,217529;437;51;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;103,007812;252;0,416;2976;3104;3862;277,2;102,9309;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:15:438;41,27519381;2,30501799;1623,00231942628;5324,8109296665;9,347656;99,393311;437;53,25;4CA739;RYR82GJ;1013,2;19,512;106,172;276;1,312;278;107,402344;251;0,416;3136;3136;3862;277,2;106,1389;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:19:438;41,27357017;2,31144209;1683,95866026357;5524,79893093913;9,652344;99,678955;437;55,25;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;113,554688;250;0,416;3008;2944;3862;276,76;111,6431;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:23:438;41,2706883;2,31738979;1737,29526754655;5699,78780557742;9,949219;100,39856;437;57;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;120,234375;251;0,42;2944;2912;3862;277,64;118,8721;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:24:789;41,28550594;2,08365183;-0,000208981335163116;-0,000685634323656559;1,234375;222,418213;1000;0;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;63,28125;114;0,172;224;32;2077;111,1;65,5115;No alert, no SPI, aircraft airbone
CAT048;20;129;04:01:27:438;41,26832014;2,32316401;1798,25186360814;5899,77664420012;10,234375;100,914917;437;59;4CA739;RYR82GJ;1013,2;N/A;N/A;N/A;N/A;N/A;127,089844;250;0,42;2976;2976;3862;278,3;125,6287;No alert, no SPI, aircraft airbone
